City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Mount Gambier,AU,2022-01-27 05:04:18,-37.8333,140.7667,85.39,47,13,11.77
120,Zacatlan,MX,2022-01-27 05:04:19,19.9333,-97.9667,49.06,88,80,2.53
121,Naze,JP,2022-01-27 05:04:19,28.3667,129.4833,62.67,74,93,4.74
122,Hasaki,JP,2022-01-27 05:04:19,35.7333,140.8333,52.2,48,95,9.22
123,Hohhot,CN,2022-01-27 05:04:20,40.8106,111.6522,20.25,34,1,2.1
124,Deputatskiy,RU,2022-01-27 05:04:20,69.3,139.9,-8.61,97,100,5.1
125,Kudahuvadhoo,MV,2022-01-27 05:04:21,2.6708,72.8944,80.24,68,98,13.22
126,Flinders,AU,2022-01-27 05:02:19,-34.5833,150.8552,82.18,65,6,8.99
127,Itarema,BR,2022-01-27 05:04:21,-2.9248,-39.9167,77.14,86,100,10.0
128,Port-Cartier,CA,2022-01-27 05:04:22,50.0334,-66.8654,-13.25,98,60,6.49
129,Esperance,AU,2022-01-27 05:04:22,-33.8667,121.9,68.58,74,97,12.37
130,Kerema,PG,2022-01-27 05:04:22,-7.9631,145.7785,85.8,69,94,12.21
131,Mastic,US,2022-01-27 05:04:23,40.802,-72.8409,20.93,56,0,3.0
132,Puerto Ayora,EC,2022-01-27 05:04:23,-0.7393,-90.3518,72.97,91,97,5.88
133,Shimoda,JP,2022-01-27 05:04:23,34.6667,138.95,53.71,66,100,7.76
134,Pryazha,RU,2022-01-27 05:04:24,61.6926,33.6216,16.83,92,100,9.17
135,Barrow,US,2022-01-27 05:04:24,71.2906,-156.7887,-14.78,76,0,12.66
136,Lithakia,GR,2022-01-27 05:05:25,37.7167,20.8333,41.59,66,59,5.48
137,Vanavara,RU,2022-01-27 05:05:25,60.34,102.2797,-5.21,91,71,0.98
138,Ngaoundere,CM,2022-01-27 05:05:25,7.3167,13.5833,58.5,29,98,3.8
139,Acobamba,PE,2022-01-27 05:05:26,-11.3525,-75.6594,53.1,82,100,1.81
140,Havoysund,NO,2022-01-27 05:05:26,70.9963,24.6622,28.63,75,100,5.44
141,Lebu,CL,2022-01-27 05:00:56,-37.6167,-73.65,57.29,92,4,8.68
142,Dongkan,CN,2022-01-27 05:05:27,33.9997,119.8308,43.05,53,99,12.46
143,Lasa,IT,2022-01-27 05:05:27,46.6166,10.7002,31.37,50,80,6.17
144,Ust-Kuyga,RU,2022-01-27 05:05:28,70.0167,135.6,-9.2,95,100,9.98
145,Sambava,MG,2022-01-27 05:05:28,-14.2667,50.1667,76.82,77,35,8.3
146,Hauterive,FR,2022-01-27 05:05:29,46.0901,3.4459,27.01,84,4,1.14
147,Talnakh,RU,2022-01-27 05:05:29,69.4865,88.3972,1.2,96,100,14.76
148,Srednekolymsk,RU,2022-01-27 05:05:29,67.45,153.6833,-41.82,100,38,1.95
149,Atar,MR,2022-01-27 05:02:18,20.5169,-13.0499,60.58,55,35,9.13
150,Maralal,KE,2022-01-27 05:05:30,1.0968,36.698,58.89,54,7,4.88
151,Labuhan,ID,2022-01-27 05:05:30,-6.8844,112.2051,85.12,71,100,13.2
152,Dover,US,2022-01-27 05:02:47,39.1582,-75.5244,25.95,67,0,0.0
153,Ancud,CL,2022-01-27 05:04:15,-41.8697,-73.8203,56.73,76,0,0.74
154,Santa Isabel Do Rio Negro,BR,2022-01-27 05:05:31,-0.4139,-65.0192,73.54,98,98,0.6
155,Geraldton,AU,2022-01-27 05:05:32,-28.7667,114.6,86.41,45,0,23.02
