City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
58,Lompoc,US,66.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
61,Saldanha,ZA,73.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
65,Arraial Do Cabo,BR,87.76,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
66,Huarmey,PE,76.01,few clouds,-10.0681,-78.1522,Hotel Miramar
67,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
68,Anuradhapura,LK,71.98,few clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
70,Namibe,AO,72.5,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
73,Kavieng,PG,81.16,moderate rain,-2.5744,150.7967,Nusa Island Retreat
75,Port Alfred,ZA,70.41,scattered clouds,-33.5906,26.891,The Halyards Hotel
76,Hithadhoo,MV,81.28,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
79,Paysandu,UY,84.42,clear sky,-32.3214,-58.0756,Gran Hotel Paysandú
80,Basco,PH,74.35,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
84,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
85,Caravelas,BR,84.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
86,Wewak,PG,77.4,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
87,Pak Phanang,TH,77.31,clear sky,8.3511,100.202,Green Park Inn Hotel
93,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
95,Dingle,PH,74.98,few clouds,10.9995,122.6711,SEGAYA PROPERTY
97,San Quintin,MX,66.27,clear sky,30.4833,-115.95,Don Eddie's Landing
98,Carauari,BR,78.01,overcast clouds,-4.8828,-66.8958,Hotel Fellip
101,Vaini,TO,81.34,light rain,-21.2,-175.2,Keleti Beach Resort
103,Vallenar,CL,83.3,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
104,Ponta Do Sol,PT,65.03,clear sky,32.6667,-17.1,Hotel do Campo
111,Rodrigues Alves,BR,88.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
114,Atuona,PF,77.23,light rain,-9.8,-139.0333,Villa Enata
117,Liku,ID,74.91,overcast clouds,-0.7275,119.8922,Wahyu
121,Villa Carlos Paz,AR,85.24,clear sky,-31.4241,-64.4978,Monte Carlo vcp
123,Pringsewu,ID,73.85,overcast clouds,-5.3582,104.9744,Urban Style by Front One
124,East London,ZA,72.54,broken clouds,-33.0153,27.9116,Tu Casa
125,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
126,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
127,Tucuman,AR,84.2,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
128,Pandan,PH,77.02,few clouds,14.0453,124.1694,Bonifacio Lodge
129,Gwadar,PK,71.31,clear sky,25.1216,62.3254,Sadaf Resort
130,Ugoofaaru,MV,82.11,scattered clouds,5.6667,73.0,Ungoofaaru Inn
135,Bubaque,GW,78.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
136,Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,El Medina
138,San Policarpo,PH,78.96,few clouds,12.1791,125.5072,Agapita M. Nicart
139,Benguela,AO,78.08,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
