City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Tahta,EG,2022-01-29 18:33:46,26.7693,31.5021,52.23,46,0,6.64,clear sky
138,San Policarpo,PH,2022-01-29 18:36:24,12.1791,125.5072,78.96,84,22,4.94,few clouds
139,Benguela,AO,2022-01-29 18:36:24,-12.5763,13.4055,78.08,82,100,6.76,overcast clouds
140,Tiksi,RU,2022-01-29 18:36:24,71.6872,128.8694,-8.48,100,56,3.98,broken clouds
141,Ust-Nera,RU,2022-01-29 18:32:17,64.5667,143.2,-15.61,100,100,1.01,overcast clouds
142,Nador,MA,2022-01-29 18:36:25,35.174,-2.9287,59.25,72,0,6.91,clear sky
143,Akyab,MM,2022-01-29 18:36:25,20.15,92.9,58.91,70,0,12.55,clear sky
144,Camocim,BR,2022-01-29 18:36:26,-2.9022,-40.8411,81.73,68,100,9.73,overcast clouds
145,Provideniya,RU,2022-01-29 18:34:42,64.3833,-173.3,2.21,87,7,5.39,clear sky
146,Saint-Pierre,RE,2022-01-29 18:36:26,-21.3393,55.4781,80.24,73,18,6.91,few clouds
147,Ejido,VE,2022-01-29 18:36:27,8.5514,-71.2375,76.03,69,70,8.25,broken clouds
148,Airai,TL,2022-01-29 18:36:27,-8.9266,125.4092,60.64,93,100,3.4,light rain
149,Katsuura,JP,2022-01-29 18:36:28,35.1333,140.3,41.18,84,31,13.91,scattered clouds
150,Carlsbad,US,2022-01-29 18:36:28,33.1581,-117.3506,70.68,31,0,4.0,clear sky
151,Mogadishu,SO,2022-01-29 18:36:28,2.0371,45.3438,77.67,80,9,22.15,clear sky
152,Tigre,AR,2022-01-29 18:36:29,-34.426,-58.5796,85.24,50,20,11.5,few clouds
153,Port Elizabeth,ZA,2022-01-29 18:31:35,-33.918,25.5701,70.11,77,0,11.5,clear sky
154,Gotsu,JP,2022-01-29 18:36:29,35.0,132.2167,40.71,60,100,6.22,overcast clouds
155,Tasiilaq,GL,2022-01-29 18:36:30,65.6145,-37.6368,14.16,77,82,4.34,broken clouds
156,Portland,US,2022-01-29 18:34:37,45.5234,-122.6762,47.25,68,20,3.0,few clouds
157,Deputatskiy,RU,2022-01-29 18:36:30,69.3,139.9,-19.21,87,100,2.1,overcast clouds
158,Christchurch,NZ,2022-01-29 18:35:26,-43.5333,172.6333,59.02,89,75,4.0,broken clouds
159,Khartoum,SD,2022-01-29 18:35:44,15.5518,32.5324,71.02,18,5,1.01,clear sky
160,Nizwa,OM,2022-01-29 18:36:31,22.9333,57.5333,71.17,34,5,2.17,clear sky
161,Spirit River,CA,2022-01-29 18:36:31,55.7833,-118.8361,30.72,82,100,4.52,overcast clouds
162,Alofi,NU,2022-01-29 18:36:32,-19.0595,-169.9187,75.09,94,100,1.14,overcast clouds
163,Broome,US,2022-01-29 18:36:32,42.2506,-75.833,14.22,53,40,3.0,scattered clouds
164,Popondetta,PG,2022-01-29 18:36:33,-8.7537,148.2534,73.76,94,100,2.04,overcast clouds
165,Shimoda,JP,2022-01-29 18:36:33,34.6667,138.95,40.1,67,56,7.27,broken clouds
166,Lancaster,US,2022-01-29 18:36:34,40.2504,-76.2499,22.37,48,20,5.99,few clouds
167,Gari,RU,2022-01-29 18:36:34,59.4307,62.3497,-1.91,99,100,3.31,overcast clouds
168,Coihaique,CL,2022-01-29 18:34:12,-45.5752,-72.0662,67.95,42,75,6.91,broken clouds
169,Presidencia Roque Saenz Pena,AR,2022-01-29 18:36:35,-26.7852,-60.4388,98.53,14,0,7.18,clear sky
170,Bengkulu,ID,2022-01-29 18:36:35,-3.8004,102.2655,76.48,89,100,3.4,overcast clouds
171,Raahe,FI,2022-01-29 18:36:36,64.6833,24.4833,26.69,97,100,9.53,light snow
172,Palanga,LT,2022-01-29 18:36:36,55.9175,21.0686,39.22,100,100,23.02,overcast clouds
173,Phan Thiet,VN,2022-01-29 18:36:37,10.9333,108.1,72.46,89,100,3.85,overcast clouds
174,Fortuna,US,2022-01-29 18:35:46,40.5982,-124.1573,54.99,70,0,10.36,clear sky
175,Aswan,EG,2022-01-29 18:33:39,24.0934,32.907,54.32,35,0,11.36,clear sky
176,Itarema,BR,2022-01-29 18:36:37,-2.9248,-39.9167,83.43,61,87,11.68,overcast clouds
177,Kaitangata,NZ,2022-01-29 18:36:38,-46.2817,169.8464,54.86,95,100,4.54,heavy intensity rain
178,Zelenoborskiy,RU,2022-01-29 18:36:38,66.845,32.3622,7.9,96,100,3.13,light snow
179,Ampanihy,MG,2022-01-29 18:36:39,-24.7,44.75,71.8,68,0,5.7,clear sky
180,Newberry,US,2022-01-29 18:36:44,34.2746,-81.6187,41.36,30,0,11.77,clear sky
181,Cidreira,BR,2022-01-29 18:34:17,-30.1811,-50.2056,74.66,56,84,12.41,broken clouds
182,Half Moon Bay,US,2022-01-29 18:36:45,37.4636,-122.4286,60.62,71,0,1.01,haze
183,Varzea Da Palma,BR,2022-01-29 18:36:45,-17.5981,-44.7308,83.25,58,100,3.91,overcast clouds
184,Aquiraz,BR,2022-01-29 18:36:45,-3.9014,-38.3911,86.09,66,100,8.99,overcast clouds
185,Mishelevka,RU,2022-01-29 18:36:46,52.8575,103.1719,-22.16,100,91,0.36,overcast clouds
186,Sosva,RU,2022-01-29 18:36:46,59.1766,61.8558,-1.5,99,100,2.77,overcast clouds
187,Kruisfontein,ZA,2022-01-29 18:36:47,-34.0033,24.7314,67.89,80,0,9.69,clear sky
188,Cabedelo,BR,2022-01-29 18:36:47,-6.9811,-34.8339,84.87,71,55,8.57,broken clouds
189,Klaksvik,FO,2022-01-29 18:36:47,62.2266,-6.589,34.72,65,77,34.47,broken clouds
190,Hervey Bay,AU,2022-01-29 18:36:48,-25.2986,152.8535,74.01,93,53,8.99,broken clouds
191,College,US,2022-01-29 18:36:49,64.8569,-147.8028,-15.0,73,20,0.0,few clouds
192,Bethel,US,2022-01-29 18:36:49,41.3712,-73.414,15.85,80,100,5.99,snow
193,Harstad,NO,2022-01-29 18:36:49,68.799,16.5293,25.83,70,100,6.17,overcast clouds
194,Pevek,RU,2022-01-29 18:31:58,69.7008,170.3133,-15.81,99,98,2.08,overcast clouds
195,Dukat,RU,2022-01-29 18:36:50,62.55,155.55,-5.57,98,100,3.42,overcast clouds
196,Sola,VU,2022-01-29 18:34:26,-13.8833,167.55,82.62,78,100,22.73,overcast clouds
197,Veraval,IN,2022-01-29 18:36:51,20.9,70.3667,68.0,50,4,7.05,clear sky
198,Port Blair,IN,2022-01-29 18:36:51,11.6667,92.75,77.04,88,75,2.3,mist
199,Semey,KZ,2022-01-29 18:36:52,50.4111,80.2275,9.05,78,100,14.61,overcast clouds
200,Newark,US,2022-01-29 18:36:43,40.7357,-74.1724,19.94,85,100,18.41,overcast clouds
201,Saltillo,MX,2022-01-29 18:36:52,25.4167,-101.0,50.16,93,100,5.75,fog
202,Emerald,AU,2022-01-29 18:36:52,-23.5333,148.1667,73.54,78,64,3.44,broken clouds
203,Kenai,US,2022-01-29 18:36:53,60.5544,-151.2583,18.09,93,20,4.61,few clouds
204,Teknaf,BD,2022-01-29 18:36:53,20.8624,92.3058,56.05,75,0,8.93,clear sky
205,Mandiana,GN,2022-01-29 18:36:54,10.6333,-8.6833,85.3,15,33,5.19,scattered clouds
206,Kaduna,NG,2022-01-29 18:36:54,10.5222,7.4383,73.08,14,87,10.94,overcast clouds
